Lyric,Count
up,305
down,285
You,279
don't,279
be,238
it's,227
The,227
what,224
this,216
we,207
when,202
from,189
so,187
can,180
just,178
So,178
at,174
you're,163
do,161
back,159
time,158
I've,155
not,155
no,150
that's,148
'Cause,146
We,142
Mike,142
But,140
gonna,138
go,136
but,133
was,132
now,131
I'll,129
one,124
around,120
want,117
It's,115
can't,115
'cause,113
off,111
are,111
y'all,109
Like,106
right,104
man,103
then,103
mic,102
make,100
they,99
as,97
if,96
rock,95
see,95
gotta,94
say,93
keep,92
My,91
funky,90
take,90
let,90
rhymes,90
her,88
Well ,87
or,86
ain't,86
come,84
planetary ,84
To,84
going,84
stop,83
never,83
he,83
some,82
shit,80
Now,80
party,78
about,78
way,77
been,75
little,74
mind,73
rhyme,73
name,73
If,71
have,70
than,69
we're,67
getting,67
put,67
think,66
day,65
We're,65
What,64
his,63
am,63
A,63
tell,62
Because,62
Well,62
by,61
who,61
feel,60
Don't,60
new,60
she,60
wanna,60
people,59
another,59
With,59
an,58
girl,58
through,57
give,57
what's,56
said,56
how,55
D,55
Another,54
still,54
When,53
always,53
She's,53
she's,52
All,52
two,52
it ,52
Got,52
turn,52
where,51
more,51
said ,51
kick,50
He,50
No,49
here,49
because,49
night,48
well,48
New,48
had,48
check,48
hey ,48
goes,47
too,46
You're,46
call,46
try,46
place,46
Intergalactic ,45
set,45
home,45
style,45
love,45
lighten,44
good,44
three,44
This,44
money,44
into,44
could,44
sleep,44
up ,43
play,43
head,43
pay,42
ya,42
intergalactic,42
comes,42
over,42
sound,42
house,41
can't ,40
won't ,40
ass,40
From,40
Beastie,40
world,39
ill,39
feeling,39
fight,39
they're,39
York,38
gone,38
yourself,38
Get,38
break,38
skills,38
body,37
real,37
need,36
long,36
In,36
fly,36
hear,36
Adrock,36
light,36
pass,36
Oh,36
dimension,36
Let,36
best,36
dimension ,36
Your,35
known,35
Manhattan,35
beat,35
something,35
stick,35
cause,35
I'd,34
till,34
life,34
start,34
ladies,34
ever,34
together,33
their,33
D.,33
y'all ,33
nothing,33
Yo,33
On,33
face,32
will,32
hot,32
Just,32
game,32
every,32
much,32
Who,32
inside,32
you ,32
me ,32
man ,32
crafty ,32
Monkey,31
old,31
better,31
nice,31
damn,31
there,31
him,30
run,30
One,30
seen,30
top,30
Listen,30
bass,30
high,30
beats,30
show,29
word,29
look,29
did,29
ride,29
away,29
root,29
he's,29
might,28
what'cha ,28
you've,28
yeah,28
grab,28
Boys,28
Egg,27
live,27
listen,27
shot,27
many,27
goin',27
For,27
looking,27
work,27
rockin',26
cut,26
yet,26
f*ck,26
should,26
these,26
D ,26
movin',26
before,26
done,26
sure,26
'em,26
thing,26
didn't,26
hard,26
yo,26
stand,26
Man ,26
freak,25
Adrock ,25
bring,25
them,25
house ,25
That,25
again,25
mean,25
makin',25
girls,25
went,25
now ,25
heart,25
started,25
talk,25
things,24
were,24
Hey,24
us,24
bust,24
city,24
Brooklyn,24
next,24
takes,24
why,24
bills,24
really,24
Never,23
M.C.A.,23
music,23
hand,23
making,23
Yeah ,23
She,23
dawn,23
lot,23
type,23
Gonna,23
DJ,23
let's,23
Keep,23
yo ,23
took,23
front,23
Take,23
ask,23
gettin',22
Adam,22
what'cha,22
must,22
fresh,22
nobody,22
Brooklyn!,22
It,22
well ,22
wrong,22
song,22
brain,22
hold,22
won't,22
Queens,22
bet,22
you'll,22
watch,22
last,21
everybody,21
while,21
gets,21
has,21
sabotage,21
myself,21
made,21
there's,21
down ,21
step,21
power,21
coming,21
hit,21
our,21
Step,21
Time,21
those,21
big,21
flow,21
microphone,21
dance,21
Ain't,20
mom,20
Funky,20
car,20
point,20
bad,20
Three,20
drink,20
thought,20
Brass,20
attack,20
wack,20
Johnny,20
Mario,20
kid,20
respect,20
fire,20
fresh ,20
running,20
caught,20
boss ,20
Most,20
school,19
People,19
doing,19
rap,19
pull,19
change,19
own,19
Mix,19
em,19
Why,19
find,18
town,18
pop,18
Now ,18
talking,18
ya'll,18
out ,18
please,18
name's,18
care,18
even,18
MCs,18
They,18
Yeah,18
violence,18
Body,18
ready,18
Cause,18
hell,18
control,17
Make,17
after,17
Gotta,17
crazy,17
water,17
number,17
stage,17
crack,17
win,17
girlies,17
Brooklyn ,17
most,17
comin',17
(yeah),17
movin' ,17
Slow,17
very,17
mad,17
hair,16
pen,16
Is,16
ball,16
crowd,16
I'ma,16
Not,16
other,16
such,16
living,16
flow ,16
Disco,16
wear,16
King,16
brand,16
write,16
baby,16
help,16
You've,16
record,16
only,16
happen,16
That's,16
met,16
F*ck,16
holy,16
Let's,16
Or,16
action,16
hey,16
walk,16
rhymin',16
stay,16
wine,16
move,16
There's,16
What's,16
block,15
taking,15
huh,15
sell,15
story,15
line,15
There,15
truth,15
strong,15
tempo,15
ah ,15
stupid,15
chickens,15
times,15
Check,15
neck,15
past,15
MC's,15
oh,15
Mike ,15
motherf*cker,15
shall,15
Too,15
want?,15
left,15
Can't,15
wall,15
Everybody,15
Asian ,14
yes ,14
pretty,14
two ,14
gold,14
full,14
playing,14
want?),14
Battery,14
Middle-Eastern,14
Ah,14
sit,14
threw,14
sounds,14
Come,14
TRUE,14
milk,14
White ,14
mind ,14
Soba,14
catch,14
boys,14
f*ckin',14
Staten,14
free,14
throw,14
cool,14
kind,14
cold,14
As,14
do?,14
working,14
thoughts,14
Black ,14
king,14
spot,14
called,14
buy,14
sick,14
Right,14
Bronx ,14
yell,14
time?,14
low ,14
beyond,14
touch,14
Country,14
friends,14
Hey ,14
',14
on ,14
up?,14
Latin,14
Do,14
sun,14
gun,14
(what'cha,14
ear,13
electric,13
Street,13
Holy,13
eyes,13
fake,13
drop,13
room,13
losing,13
six,13
heard,13
know ,13
without,13
brought,13
trying,13
shine,13
Here's,13
you),13
across,13
space,13
against,13
At,13
"""I",13
tip,13
ha,13
He's,13
good ,13
words,13
attack ,13
corner,13
Mr.,13
fight ,13
train,13
rappers,13
burn,13
disco,13
Put,13
dream,13
would,13
alright,13
saw,13
MCA,13
crew,12
loose,12
dust,12
flowing,12
deal,12
news,12
until,12
thanks,12
Dr.,12
floor,12
learn,12
yeah ,12
ha-ha-ha ,12
huh ,12
window,12
stealin',12
hope,12
whole,12
chill ,12
it),12
Brrr ,12
five,12
rhythm,12
b-boy ,12
boomin',12
finger,12
Heart,12
Mixmaster,12
Check-ch-check-check-check-ch-check,12
Go,12
bag,12
den,12
'Nuff,12
door,12
straight,12
phone,12
Yauch,12
See,12
Master,12
sky,12
wild,12
he'll,12
fat,12
born,12
behind,12
makes,12
em ,12
rat,12
end,11
class,11
soul,11
dead,11
wax,11
enough,11
Rock,11
knows,11
(that's,11
cup,11
mic ,11
"Abednago""",11
round,11
special,11
bottle,11
track,11
Down,11
pulled,11
paid,11
Two,11
morning,11
"""Shadrach",11
driving,11
clout,11
insane,11
it?,11
attention,11
half,11
Bennie,11
How,11
Once,11
suckers,11
shake,11
Def,11
nose,11
side,11
Me,11
lickin' ,11
forget,11
delay,11
girls ,11
eat,11
loud,11
the ,11
Lee,11
Mesach,11
weak,11
scream,11
along,11
send,11
Cooky,11
Had,10
time ,10
mother,10
fine,10
bum,10
His,10
porno,10
Tom,10
one's,10
lost,10
sip,10
tried,10
pound,10
Castle,10
vibe ,10
wish,10
cook ,10
South,10
yes,10
Tough,10
crafty,10
feet,10
leg,10
sucker,10
man's,10
test,10
Man,10
lookin',10
Sam,10
voice,10
bitch,10
One ,10
trouble,10
hip-hop,10
Know,10
clock,10
giving,10
clear,10
Dear,10
speak,10
Riding,10
forty,10
hits,10
chicken,10
build,10
beer,10
Went,10
Hutton,10
de,10
here's,10
far,10
boat,10
god,10
granny,10
upon,10
first,10
die,9
shout,9
"""Yo",9
may,9
(one),9
cutting,9
back ,9
Girls ,9
rhyme ,9
Nas,9
"it""",9
You'll,9
Ali,9
now),9
its,9
shoot,9
smoke,9
TV,9
which,9
calm,9
ladies ,9
science,9
(three),9
hip,9
Bronx,9
say?,9
Walking,9
busted,9
Ah ,9
lady,9
swell,9
illingest,9
read,9
drive,9
we've,9
mirage,9
groove,9
takes ,9
kinda,9
soothing,9
boss,9
missed,9
kinds,9
danger),9
okay,9
bounce,9
sweet,9
again ,9
piece,9
sing,9
joint,9
Said,9
minute,9
stock,9
smokes,9
peace,9
Girl,9
boots,9
press,9
baby ,9
maybe,9
days,9
downtown,9
battle,9
lyrics,9
box,9
say ,9
Thank,9
since,9
plan,9
MC,9
guy ,9
doin',9
dog,9
Every,9
telling,9
ice,9
gonna',9
smile,9
Going,9
same,9
mine,9
between,9
teeth,9
planned,9
it!,9
Kick,9
believe,9
we'll,9
Good,9
why'all,9
came,9
So ,9
calling,9
Be,9
