artist,song,lyrics
Tupac+Shakur,"All About Youw/ 2Pac, Outlawz","Ah yeah!
___Yeah!
___It's all about you, one time!
___I'mma say it's all about you baby, yeah!
___It's all about you, it's all about you, yeah
___This Dru Down in the house
___With my boy 'Pizznac you knowhat I'm sayin'? (It's all about you)
___Yeah I'm gon' say it's all about you
___But you know I'm lyin' though, hah! Yeauh
___
___You probably crooked as the last trick
___Wanna laugh about how I got my ass caught up with this bad bitch
___Thinkin' I had her but she had me in the long run
___It's just my luck I'm stuck with f*ckin' with the wrong one, uh
___Wise decisions, based on lies we livin'
___Scandalous times, this game's like my religion
___You could be rollin' with a thug
___Instead you with this weak scrub, lookin' for some love
___In every club
___I see you starin' like you want it
___Well baby, if you got it better flaunt it
___Let the liquor help you get up on it
___I'm still tipsy from last night
___Bumpin' these walls as I pause, addicted to the fast life
___I try to holla but you tell me you taken
___Sayin' you ain't impressed, with the money I'm makin'
___Guess it's true what they tellin' me
___Fresh out of jail, life's hell for a black celebrity
___So that's the reason why I call, and maybe you with it
___Fantasies of us sweatin', can I hit it?
___Addicted to the things you do, but still true
___What I'm sayin' boo, is this is all about you
___
___Every other city we go
___Every other video (it's all about you)
___No matter where I go, I see the same ho
___
___Every other city we go
___Every other video (it's all about you)
___No matter where I go, I see the same ho
___
___I make a promise if you go with me
___Just let me know, I'll have you hollerin' my name out before I leave
___Nobody loves me I'm a thug n*gga
___I only hung out with the criminals and drug dealers
___I love n*ggas 'cause we comin' from the same place
___Witness me holla at a hoochie, see how quick the game takes
___How can I tell her I'm a playa and I don't even care
___Creep low, weed smoke's in the air
___Everywhere I go, it's all about the groupie hoes
___Waitin' for n*ggas at the end of every show
___I just seen you in my friend's video
___I never put a bitch before my friends, so here we go
___Follow the leader and peep the drama that I'm goin' through
___It's all about you
___Yeah n*gga
___It's all about you
___
___Every other city we go
___Every other video (it's all about you)
___No matter where I go, I see the same ho
___
___Every other city we go
___Every other video (it's all about you)
___No matter where I go, I see the same ho
___
___Is you sick from the dick or is it the flu?
___It ain't about you or your bitch ass crew
___Every other city we go and every video
___Explain to a n*gga why I see the same shitty ho
___You think it's all about you? Well boo
___I gets down like Dru and my nasty new n*ggas, too
___
___You couldn't hold me back, it'd take a fatter track
___A lyrical attack, perhaps, it was a visual bluff
___When I started to snaps all your rode 'em swoll
___Straight in control, flows'll fold, while hoes cold stroll
___Hold the set, I told Dramacy' go in next
___Gold digging, cold digging a gold Rolex
___
___I slide in easily, try a grizzly
___Sluts know the cuts, I came to f*ck, try skeezin' me
___Runnin' up in ya just like Bruce Jenner when I bend ya
___At the most, I f*cked a bitch from the west coast to West Virginia
___
___Every other city we go
___Every other video (it's all about you)
___No matter where I go, I see the same ho
___
___Every other city we go
___Every other video (it's all about you)
___No matter where I go, I see the same ho
___
___Every other city we go
___Every other video (it's all about you)
___No matter where I go, I see the same ho
___
___Every other city we go
___Every other video (it's all about you)
___No matter where I go, I see the same ho
___
___Every other city we go
___I see the same hoes in the studio
