name,location__city,location__neighborhood,location__coordinates,categories__001,categories__002,categories__003,bio__summary,bio__url,bio__birthdate,bio__deathdate,bio__yearsActiveStart,bio__yearsActiveEnd,youtube__clipExampleUrl,birth_year,death_year,career_start,career_end
Bushwick Bill,New York,Bushwick,"-73.922310, 40.705489",rapper,,,"Richard Stephen Shaw (December 8, 1966 – June 9, 2019) was a Jamaican-American rapper and record producer better known by his stage name Bushwick Bill. He was best known as a member of the pioneering Texas hip hop group Geto Boys, a group he originally joined as a dancer in 1986 as Little Billy.",https://en.wikipedia.org/wiki/Bushwick_Bill,1966-12-08T00:00:00.000Z,2019-06-09T00:00:00.000Z,1986,2019,https://www.youtube.com/embed/VTn2fOAVHYM,1966,2019,1986,2019
Seagram,Oakland,,"-122.185518, 37.757858",rapper,,,"Seagram Miller (April 13, 1970 – July 31, 1996) was an American rapper from Oakland, California. Miller was shot to death in a drive-by shooting on July 31, 1996. ",https://en.wikipedia.org/wiki/Seagram_(rapper),1970-04-13T00:00:00.000Z,1996-07-31T00:00:00.000Z,1989,1996,https://www.youtube.com/embed/gYVDa_OcJNo,1970,1996,1989,1996
Big Hawk,Houston,,"-95.340298, 29.621483",rapper,,,"John Edward Hawkins (November 15, 1969 – May 1, 2006), better known as H.A.W.K. or Big Hawk was an American rapper from Houston, Texas and a founding member of the late DJ Screw's rap group the Screwed Up Click.",https://en.wikipedia.org/wiki/Big_Hawk,1969-11-15T00:00:00.000Z,2006-05-01T00:00:00.000Z,1992,2006,https://www.youtube.com/embed/T4SEZ9skGrA,1969,2006,1992,2006
Fat Pat,Houston,,"-95.342376, 29.619981",rapper,,,"Patrick Lamark Hawkins (December 4, 1970 – February 3, 1998), better known by his stage name Fat Pat was an American rapper from Houston, Texas.",https://en.wikipedia.org/wiki/Fat_Pat_(rapper),1970-12-04T00:00:00.000Z,1998-02-03T00:00:00.000Z,1993,1998,https://www.youtube.com/embed/7aELH0U2gkk,1970,1998,1993,1998
Big Moe,Houston,,"-95.354919, 29.722827",rapper,,,"Kenneth Doniell Moore (August 20, 1974 – October 14, 2007), better known by his stage name Big Moe, was an American rapper from Houston, Texas.",https://en.wikipedia.org/wiki/Big_Moe,1974-08-20T00:00:00.000Z,2007-10-14T00:00:00.000Z,1993,2007,https://www.youtube.com/embed/LCu-2ekdFe4,1974,2007,1993,2007
Nipsey Hussle,Los Angeles,Crenshaw,"-118.345268, 34.010830",rapper,,,"Ermias Asghedom (August 15, 1985 – March 31, 2019), better known by his stage name Nipsey Hussle (often stylized as Nipsey Hu$$le), is an American rapper from Crenshaw, Los Angeles, California. Hussle was murdered outside his store, Marathon Clothing, in South Los Angeles on March 31, 2019.",https://en.wikipedia.org/wiki/Nipsey_Hussle,1985-09-15T00:00:00.000Z,2019-03-31T00:00:00.000Z,2005,2019,https://www.youtube.com/embed/wuWJUd8nN4w,1985,2019,2005,2019
Lord Infamous,Memphis,,"-90.039561, 35.092953",rapper,,,"Ricky T Dunigan (November 17, 1973 – December 20, 2013), better known by his stage name Lord Infamous, was an American rapper from Memphis, Tennessee. He was best known as co-founder of the Memphis rap group Three 6 Mafia.",https://en.wikipedia.org/wiki/Lord_Infamous,1973-11-17T00:00:00.000Z,2013-12-20T00:00:00.000Z,1990,2013,https://www.youtube.com/embed/lZM0pBNVMW0,1973,2013,1990,2013
The Jacka,Pittsburg,,"-121.897252, 38.015785",rapper,,,"Dominick Newton (August 12, 1977 – February 2, 2015), better known by his stage name The Jacka, was an American rapper from Pittsburg, California. The Jacka got his start with his group, Mob Figaz.",https://en.wikipedia.org/wiki/The_Jacka,1977-08-12T00:00:00.000Z,2015-02-02T00:00:00.000Z,1998,2015,https://www.youtube.com/embed/DdewgXQWC3w,1977,2015,1998,2015
Proof,Detroit,,"-82.986971, 42.443729",rapper,,,"eShaun Dupree Holton (October 2, 1973 – April 11, 2006), better known by his stage name Proof, was an American rapper and actor from Detroit, Michigan. He was a member of the groups D12. He was a close childhood friend of rapper Eminem. In 2006, Proof was shot and killed during an altercation at the CCC nightclub in Detroit.",https://en.wikipedia.org/wiki/Proof_(rapper),1973-10-02T00:00:00.000Z,2006-04-11T00:00:00.000Z,1992,2006,https://www.youtube.com/embed/U4MfApWb69g,1973,2006,1992,2006
Big Pun,New York,South Bronx,"-73.922010, 40.823268",rapper,,,"Christopher Lee Rios[1] (November 10, 1971 – February 7, 2000), known has Big Pun (short for Big Punisher), was an American rapper from The Bronx, New York City, he was the first Latino rapper to have an album certified platinum as a solo act.",https://en.wikipedia.org/wiki/Big_Pun,1971-11-10T00:00:00.000Z,2000-02-07T00:00:00.000Z,1992,2000,https://www.youtube.com/embed/DwEqTbaFVXU,1971,2000,1992,2000
Big L,New York,Harlem,"-73.939898, 40.816705",rapper,,,"Lamont Coleman (May 30, 1974 – February 15, 1999), best known by his stage name Big L, was an American hip hop recording artist from Harlem New York.",https://en.wikipedia.org/wiki/Big_L,1974-05-30T00:00:00.000Z,1999-02-15T00:00:00.000Z,1990,1999,https://www.youtube.com/embed/WWMjRMJ0dTI,1974,1999,1990,1999
Guru,Boston,Roxbury,"-71.090405, 42.314443",rapper,,,"Keith Edward Elam (July 17, 1961 – April 19, 2010), better known by his stage name Guru, was an American rapper best known as a member of the hip-hop duo Gang Starr, along with DJ Premier.",https://en.wikipedia.org/wiki/Guru_(rapper),1961-07-17T00:00:00.000Z,2010-04-19T00:00:00.000Z,1986,2010,https://www.youtube.com/embed/eIWTKrj9SfI,1961,2010,1986,2010
DJ Screw,Houston,,"-95.2925514, 29.6897814",producer / dj,,,"Robert Earl Davis, Jr. (July 20, 1971 – November 16, 2000), better known by his stage name DJ Screw, was an American hip hop DJ based in Houston, Texas. He was known has the creator of the now-famous chopped and screwed DJ technique.",https://en.wikipedia.org/wiki/DJ_Screw,1971-07-20T00:00:00.000Z,2000-11-16T00:00:00.000Z,1983,2000,https://www.youtube.com/embed/K_h55O66uf0,1971,2000,1983,2000
Soulja Slim,New Orleans,Magnolia Projects,"-90.093660, 29.938657",rapper,,,"James Adarryl Tapp, Jr. (September 9, 1977 – November 26, 2003), better known by his stage name Soulja Slim (previously Magnolia Slim), was an American rapper and songwriter from New Orleans. He  was shot by an unknow gunman on Thanksgiving Eve in the front row of his mother home.",https://en.wikipedia.org/wiki/Soulja_Slim,1977-09-09T00:00:00.000Z,2003-11-26T00:00:00.000Z,1993,2003,https://www.youtube.com/embed/dpTxSG3P8fc,1977,2003,1993,2003
Aaliyah,Detroit,,"-83.138337, 42.417139",singer,,,"Aaliyah Dana Haughton (January 16, 1979 – August 25, 2001) was an American singer, dancer, actress, and model from Detroit, Michigan. On August 25, 2001, Aaliyah and eight others were killed in a plane crash in the Bahamas.",https://en.wikipedia.org/wiki/Aaliyah,1979-01-16T00:00:00.000Z,2001-08-25T00:00:00.000Z,1991,2001,https://www.youtube.com/embed/kjDM0Fz5ccU,1979,2001,1991,2001
Mac Miller,Pittsburgh,,"-79.9441933, 40.451551",rapper,singer,,"Malcolm James McCormick (January 19, 1992 - September 7, 2018), best known by his stage name Mac Miller, is an American rapper.",https://en.wikipedia.org/wiki/Mac_Miller,1992-01-19T00:00:00.000Z,2018-10-07T00:00:00.000Z,2007,2018,https://www.youtube.com/embed/6bMmhKz6KXg,1992,2018,2007,2018
