name,location__city,location__neighborhood,LONG,LAT ,categories__001,categories__002,categories__003,bio__summary,bio__url,bio__birthdate,bio__deathdate,bio__yearsActiveStart,bio__yearsActiveEnd,youtube__clipExampleUrl
XV,Wichita,,-97.1931106,37.6462903,rapper,,,"Donavan LaMond Johnson (born July 9, 1985) better known by his stage name XV is an American rapper, singer and songwriter from Wichita, Kansas.",https://en.wikipedia.org/wiki/XV_(rapper),1985-07-09T00:00:00.000Z,null,2000,null,https://www.youtube.com/embed/aWpC7PC7Sck
Rich Boy,Mobile,,-88.0629402,30.7025756,rapper,,,"Marece Benjamin Richards (born September 2, 1983), better known by his stage name Rich Boy, is an American rapper from Mobile, Alabama. He is best known for the hit single ""Throw Some D's"". His self-titled debut album was released in early 2007. ",https://en.wikipedia.org/wiki/Rich_Boy,1983-09-02T00:00:00.000Z,null,1999,null,https://www.youtube.com/embed/Jrej0HfjMoE
Dayton Family,Flint,,-83.7175227,43.0385895,group,,,"The Dayton Family is an American hip hop group from Flint, Michigan. The group is composed of Ira ""Bootleg"" Dorsey, Raheen ""Shoestring"" Peterson and Matt ""Backstabba"" Hinkle.",https://en.wikipedia.org/wiki/The_Dayton_Family,null,null,1993,null,https://www.youtube.com/embed/A79YGx07ejU
Death Grips,Sacremento,,-121.486304,38.585906,group,,,"Death Grips is an American experimental hip hop band from Sacramento, California, formed in 2010. The group consists of vocalist MC Ride, drummer/producer Zach Hill, and keyboardist/producer/recording engineer Andy Morin.",https://en.wikipedia.org/wiki/Death_Grips,null,null,2010,null,https://www.youtube.com/embed/Orlbo9WkZ2E
Lemdi & Moax,Val Maubuée,,2.6191079,48.8405347,group,,,Lemdi & Moax are two MC from Val Maubuée. They are member of the Val Mobb Industries crew.,http://www.coffeebreak.fr/lemdietmoax/,null,null,2009,null,https://www.youtube.com/embed/2-4kP4j9LNU
Bastos,Chelles,,2.58698,48.8799858,rapper,,,Bastos is French rapper from Chelles (Seine et Marne).,,null,null,2005,2013,https://www.youtube.com/embed/lep_bLox9w4
O'Rosko Raricim,Meaux,Pierre Collinet,2.8932185,48.9479458,rapper,,,O'Rosko Raricim born in 1978 in Congo. Is a french rapper from Meaux (Seine et Marne). He was a member of the Ghetto Fabulous Gang.,http://lerapcetaitmieuxavant.over-blog.com/2018/11/o-rosko-raricim.html,null,null,2001,2011,https://www.youtube.com/embed/Qvl539sVs8o
Mystik,Meaux,,2.8807057,48.9570632,rapper,,,Mystik born Ghislain Loussingui Diabaka in 1978 at Pointe-Noire (Congo). Is a french rapper from Meaux (Seine et Marne). He was a member of the Bisso Na Bisso group.,https://fr.wikipedia.org/wiki/Mystik,null,null,1995,2010,https://www.youtube.com/embed/KGewaMXGmBs
Lil Kim,Brooklyn,Bedford–Stuyvesant ,-73.927452,40.682434,rapper,singer,,"Kimberly Denise Jones (born July 11, 1974), known professionally as Lil' Kim, is an American rapper, singer born and raised in Brooklyn, New York.",https://en.wikipedia.org/wiki/Lil%27_Kim,1974-07-11T00:00:00.000Z,null,1994,null,https://www.youtube.com/embed/LcZoqpJ1PYs
Ciara,Atlanta,Riverdale,-84.402,33.55678,singer,,,"Ciara Princess Harris is an American singer, songwriter, dancer, and model. Born in Austin, Texas, she traveled around the world during her childhood, eventually moving to Atlanta, Georgia where she joined the girl group Hearsay.",https://en.wikipedia.org/wiki/Ciara,1985-10-25T00:00:00.000Z,null,2002,null,https://www.youtube.com/embed/_HKH7Emy1SY
Boulox,Boulogne-Billancourt,Pont-de-Sèvres,2.23316,48.829692,rapper,,,"Dijibi Diop (Better known has Boulox) was a French rapper from Pont-de-Sèvre (Boulogne-Billancourt, Paris). He was one of the original member of the Mo'vez Lang group, with LIM, Cens Nino, Kaizer and Furax. He passed away in 2016 due to medical issues.",,null,null,1995,2016,https://www.youtube.com/embed/U1MU7CwzQa0
Tierra Whack,Philadelphia,,-74.974393,40.082816,rapper,singer,,"Tierra Helena Whack (born August 11, 1995) is an American rapper, singer, and songwriter. She originally performed as ""Dizzle Dizz"" as a teenager, but later on reverted to her birth name in 2017.",https://en.wikipedia.org/wiki/Tierra_Whack,1995-08-11T00:00:00.000Z,null,2011,null,https://www.youtube.com/watch?v=https://www.youtube.com/embed/EOTebhPy04g
Bushwick Bill,New York,Bushwick,-73.92231,40.705489,rapper,,,"Richard Stephen Shaw (December 8, 1966 – June 9, 2019) was a Jamaican-American rapper and record producer better known by his stage name Bushwick Bill. He was best known as a member of the pioneering Texas hip hop group Geto Boys, a group he originally joined as a dancer in 1986 as Little Billy.",https://en.wikipedia.org/wiki/Bushwick_Bill,1966-12-08T00:00:00.000Z,2019-06-09T00:00:00.000Z,1986,2019,https://www.youtube.com/embed/VTn2fOAVHYM
Pharrell Williams,Virginia Beach,,-76.127778,36.845,producer / dj,rapper,singer,"Pharrell Lanscilo Williams (born April 5, 1973) is an American rapper, singer, songwriter, record producer, entrepreneur, and fashion designer from Virginia Beach, Virginia. Williams and Chad Hugo comprise the record production duo The Neptunes, producing hip hop and R&B music.",https://en.m.wikipedia.org/wiki/Pharrell_Williams,1973-04-05T00:00:00.000Z,null,1992,null,https://www.youtube.com/embed/LOtkH5amC7s
David Banner,Jackson,,-90.224444,32.305833,rapper,,,"Lavell William Crump (born April 11, 1974), known professionally as David Banner, is an American rapper, record producer, actor, activist, and philanthropist from Jackson, Mississippi.\r\n\r\n",https://en.wikipedia.org/wiki/David_Banner,1974-04-11T00:00:00.000Z,null,1994,null,https://www.youtube.com/embed/LPz7LCybSNk
Soso Maness,Marseille,Font Vert,5.391184,43.329001,rapper,,,"Soso Maness is a french Rapper from Font Vert, Marseille. ",,null,null,2018,null,https://www.youtube.com/embed/FF5n_z0MNcM
Peezy,Detroit,,-83.031274,42.372909,rapper,,,"Peezy is an American Rapper from Detroit Michigan born on November 5, 1991. He is a member of the Team Eastside crew.",,1991-11-05T00:00:00.000Z,null,2015,null,https://www.youtube.com/embed/-yxUyKFMLUA
