Lyrics,Count
up,3283
nigga,1927
shit,1343
just,1307
down,1280
niggas,1270
when,1231
but,1215
back,1189
from,1130
make,1130
at,1103
But,1098
f*ck,1095
go,1073
was,1065
see,1063
Snoop,1055
want,1053
some,1039
love,1021
them,1010
So,1002
We,994
if,965
Dogg,964
The,960
It's,927
bitch,913
now,898
about,891
wanna,886
Now,860
can't,850
that's,829
say,808
come,808
how,805
let,802
her,792
one,786
off,782
she,733
take,713
"it,",706
have,695
time,686
If,682
keep,672
"me,",671
real,655
"up,",652
as,650
way,650
never,636
put,634
these,632
right,626
'em,615
When,612
need,586
ass,575
cause,572
My,570
game,565
or,552
'cause,552
he,538
big,527
yeah,524
money,518
tell,516
gangsta,511
then,510
baby,509
She,506
hit,492
here,491
who,479
give,471
gotta,468
where,463
life,460
through,458
y'all,456
[Chorus],456
not,455
still,454
man,446
hot,445
wit,441
his,433
bitches,433
Cause,431
you're,431
gon',428
gonna,427
That's,418
No,416
"you,",413
"Yeah,",411
better,407
A,405
girl,404
smoke,404
ride,400
by,398
feel,398
think,392
around,389
All,387
day,385
I'll,385
been,385
G,383
good,380
hoes,379
This,378
It,377
too,374
had,373
stop,370
They,370
are,367
Get,366
us,364
In,358
To,354
What,353
little,352
Dogg],344
really,342
more,342
"nigga,",341
there,339
Don't,339
will,338
yo,338
With,333
stay,329
oh,328
roll,325
'Cause,322
Doggy,321
em,318
could,317
why,313
party,313
Just,312
other,312
Yeah,310
call,310
even,307
hard,306
[Snoop,303
See,302
niggaz,299
Let,295
F*ck,294
I'ma,290
name,287
said,286
That,286
try,285
"shit,",284
only,283
him,281
every,281
while,281
than,279
yo',278
boy,275
"yeah,",274
world,272
talk,271
look,271
beat,268
motherf*cking,268
show,265
Got,263
won't,262
bout,262
play,261
thing,260
mind,259
whole,259
Ain't,258
bad,257
something,255
done,253
run,253
Come,252
head,252
leave,250
two,248
low,247
On,247
night,244
same,243
Like,243
weed,240
change,240
For,239
home,236
high,236
West,234
double,233
(I,231
Nigga,230
hood,229
"bitch,",229
watch,228
black,227
Pound,226
"out,",225
doing,225
might,225
"Dogg,",224
new,224
would,224
side,223
dick,223
streets,222
an,221
bang,220
rock,220
Big,217
came,216
another,216
Oh,216
Niggas,214
motherf*cker,213
always,213
"that,",212
what's,212
homies,211
over,210
'bout,210
motherf*ckin',209
away,209
much,208
made,207
turn,207
long,206
am,203
mouth,202
"on,",201
again,201
trying,201
lot,199
told,198
gang,197
things,197
did,196
"down,",196
hands,194
believe,192
thang,192
From,191
How,190
pop,190
drop,190
Then,189
house,189
before,187
going,187
move,187
ready,186
gettin',185
blue,185
top,185
used,185
[Chorus:,184
ever,183
Do,183
Baby,182
goin',179
motherf*ckers,179
He,179
best,179
throw,178
face,177
break,176
heard,175
heat,175
f*ckin',174
didn't,174
check,174
bust,173
eyes,172
nothing,171
Long,171
our,169
mine,169
getting,168
straight,168
bring,167
gone,167
club,167
Can,166
homie,166
till,165
Your,165
hear,164
Who,163
Every,162
should,162
dog,161
"girl,",160
One,160
into,159
damn,159
"know,",158
die,158
full,157
young,157
lay,155
set,155
find,155
street,153
Still,152
"baby,",150
fly,150
hold,150
I've,148
c'mon,147
next,147
cold,146
walk,146
place,146
"money,",146
block,146
(the,145
girls,144
Put,144
As,143
mean,143
Take,142
hoe,142
people,142
everybody,141
gets,141
city,141
bomb),141
first,140
pussy,140
knew,138
kick,138
Tell,138
live,138
Where,137
last,136
work,136
Never,136
own,135
thought,135
many,135
dogg,134
tonight,134
"man,",133
Keep,132
shake,132
hand,132
x2],132
light,132
gun,132
"back,",130
Beach,130
Man,130
"do,",130
rap,130
matter,129
"niggas,",129
fool,128
quick,128
pimp,128
talking,127
"one,",127
ask,127
nah,127
East,126
everything,125
trip,125
left,124
crazy,124
spot,124
na,124
dumb,123
old,123
blow,123
let's,123
You're,122
fall,122
Bitch,122
"go,",121
talkin',121
its,121
seen,121
Dre,121
fresh,121
-,120
me?,120
f*cking,120
Snoopy,119
Say,119
Me,119
smokin',119
start,118
Make,118
alone,118
"game,",117
Let's,117
room,116
cash,116
catch,116
da,116
gold,115
though,115
dope,115
sweat,114
Go,114
pull,114
ho,114
ta,114
tryin',113
gave,113
Girl,113
doin',113
lil',113
Is,113
must,112
step,112
coast,112
air,111
lookin',111
momma,110
hope,110
G's,110
tryna,109
living,109
(oh,109
nothin',108
floor,108
care,108
uh,108
what?,108
end,108
paper,108
sure,107
"Oh,",107
close,107
feet,107
case,107
flow,107
yes,107
kill,106
you),106
touch,106
pay,106
ghetto,106
f*cked,105
(Snoop,105
cut,105
three,105
Coast,105
groove,105
looking,105
she's,104
caught,104
car,103
"this,",103
wasn't,103
Or,103
holla,102
mad,102
ha,102
fat,102
those,101
without,101
Look,101
fo',101
wrong,101
times,101
haters,101
Hey,101
dip,101
hell,100
town,100
there's,100
"Doggy,",100
Ya,100
f*ckin,100
dollar,100
TRUE,100
"love,",99
hate,99
their,99
n****s,99
"in,",99
"now,",99
Well,99
"ya,",99
"right,",98
friends,98
gon,97
already,97
homey,97
Some,97
once,97
God,97
motherf*ckin,97
cool,97
act,97
Everybody,97
"drop,",96
nobody,96
&,96
"'em,",96
coming,96
since,95
"Hey,",95
shot,95
tight,94
There's,94
me),94
probably,94
drink,94
pass,94
do?,94
Give,93
most,93
comin',93
body,93
miss,93
guess,93
four,92
slow,92
took,92
Bitches,92
Hit,91
dance,91
goin,91
front,91
hang,91
ball,90
kids,90
"I,",90
together,90
feeling,90
spit,88
five,88
"oh,",88
Can't,88
tha,88
grab,87
Real,87
Gotta,87
trust,87
mo',87
player,87
Why,87
days,87
grip,87
fast,86
clean,86
went,86
stuck,86
heart,86
sit,86
door,85
buy,85
"bitches,",85
gots,85
does,85
til,85
She's,85
"hey,",85
music,84
enough,84
"say,",84
paid,84
livin',84
What's,84
Back,84
"here,",84
dead,83
gin,83
wouldn't,83
easy,82
forget,82
you'll,82
understand,82
wonder,82
he's,82
remember,82
D,82
wake,82
I'd,82
yeah),82
Limit,82
west,82
cuz,81
under,81
follow,81
dough,81
"life,",81
"time,",81
i,81
Mr.,81
'til,81
until,81
2,81
hey,81
wow,80
"G,",80
tried,80
dig,80
"Nigga,",80
Check,80
goes,80
we're,80
la,80
deep,79
couple,79
different,79
thangs,79
broke,79
after,79
style,78
P,78
Eastside,78
mama,78
crazy),78
bottle,77
boss,77
please,77
neck,77
slide,77
gangstas,77
Them,77
Be,77
somethin',77
lose,77
flip,77
shoot,76
sky,76
blast,76
stuff,76
chronic,76
limit,76
boys,76
quit,76
"dumb,",76
morning,76
funk,76
These,76
listen,76
well,76
D-O,75
ladies,75
"Man,",75
O,75
***,75
reason,75
everywhere,75
bomb,75
Shit,74
freak,74
eat,74
song,74
seat,74
?,74
Better,74
I'mma,74
myself,74
juice,74
Dogg),73
gettin,73
